Identifier,Mean_GFP_Intensity,Total_GFP_Intensity
A1_03_052,1665.1300778883806,698219014
A1_03_053,1665.4926613595194,698774101
A1_03_054,1695.441340422488,711102007
A1_03_055,1649.3684281936355,692914521
A1_03_056,1677.1598634753716,703665838
A1_03_057,1659.750383096564,696442879
A1_03_058,1631.3019916042551,683939673
A1_03_059,1665.9072411003235,700080859
A1_03_060,1667.7894127925385,700593302
A1_03_061,1667.1529588790218,699117259
A2_03_001,1284.033956815738,550492322
A2_03_002,1256.8515285389449,532287934
A2_03_003,1255.89192573741,528518255
A2_03_004,1234.492046684661,522306178
A2_03_005,1213.4351855352452,513535478
A2_03_006,1200.284581159647,506632920
A2_03_007,1190.230035860692,505489506
A2_03_008,1186.0145981275393,503552148
A2_03_009,1170.657586194736,497933351
A2_03_010,1177.3301219367822,497245377
A2_03_011,1147.8247764435816,483017292
A2_03_012,1136.6078503650504,477932235
A2_03_013,1106.7147869554867,464930882
A2_03_014,1133.7123907123575,478355205
A2_03_015,1089.7957068257049,458289609
A2_03_016,1099.3822548018754,465223390
A2_03_017,1075.8122810876264,454884631
A2_03_018,1086.7159450323027,459377651
A2_03_019,1078.7413897323936,455068134
A2_03_020,1075.3211582421961,453471535
A2_03_021,1067.0517017597879,450519899
A2_03_022,1061.1545286962546,447277695
A2_03_023,1053.7311498469064,444981181
A2_03_024,1067.5910260594794,451379621
A2_03_025,1027.225425999839,433918510
A2_03_026,1043.0405149295455,440284090
A2_03_027,1038.8434862572317,438320271
A2_03_028,1050.5647346618184,444060056
A2_03_029,1044.4797932530735,441946557
A2_03_030,1040.363873906042,439960519
A2_03_031,1019.9104626317716,431988176
A2_03_032,1015.8867062249795,428354725
A2_03_033,1007.7593005926186,429381044
A2_03_034,1004.8922676320516,429138238
A2_03_035,1004.5606707851128,430107674
A2_03_036,1001.6977078142161,424113801
A2_03_037,982.4609487189177,415966106
A2_03_038,998.011056989086,425759501
A2_03_039,995.7438165291514,422631514
A2_03_040,996.146114554597,425729938
A2_03_041,1000.5055260758011,423479972
A2_03_042,987.7052274036238,418443295
A2_03_043,1020.9394001633686,432451553
A2_03_044,988.4675554093893,420785696
A2_03_045,993.5375931334846,421114883
A2_03_046,1017.1062857465914,431777892
A2_03_047,1005.3281710496486,425712246
A2_03_048,1024.6129691997392,435357026
A2_03_049,1047.5899763564403,444405477
A2_03_050,1036.2124131786911,439655601
A2_03_051,1059.9037950358043,453366429
A2_03_052,1056.246376400175,446491187
A2_03_053,1064.494912753007,451556613
A2_03_054,1091.2912575053892,462193495
A2_03_055,1066.9411854751156,453047767
A2_03_056,1093.2659567654503,460878290
A2_03_057,1105.2226623992412,466182919
A2_03_058,1099.4894015493317,464965272
A2_03_059,1126.4055417048448,475749771
A2_03_060,1134.517983524634,481066257
A2_03_061,1145.1994059985645,485069822
A3_03_001,1027.260314218836,426571900
