Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
B6_03_015,1627.0064120448794,653132438,2308.459447914034,383679811,1145.5052885310297,269452627
B6_03_016,1577.3548554931479,651815079,2252.539886794725,374079299,1123.694808689003,277735780
B6_03_017,1519.40479639932,629252380,2180.0048951934264,361612672,1078.0317480776744,267639708
B6_03_018,1507.0991679341075,627244124,2150.1177191170464,358063404,1078.1848987226679,269180720
B6_03_019,1476.5453965329457,615480230,2086.661291192492,348199083,1069.2571758898102,267281147
B6_03_020,1437.8678495972297,599572201,2016.026439334814,335809524,1053.293813918384,263762677
B6_03_021,1415.5499705199322,588210557,1984.0004435068204,331034442,1034.152374709972,257176115
B6_03_022,1382.2238818494588,576518670,1925.1352443733385,320076836,1022.3608297153884,256441834
B6_03_023,1372.6463126921535,571925440,1904.0540457648015,316615627,1019.7137602147188,255309813
B6_03_024,1362.910454886776,568100602,1878.2025977455794,312919822,1019.8134464058061,255180780
B6_03_025,1303.2683505703312,543627114,1810.1974909986282,302156355,965.0839464923043,241470759
B6_03_026,1305.1328429843297,543861907,1804.6983416688602,301666156,970.5144016926197,242195751
B6_03_027,1290.0795301049002,538659807,1784.8329611407007,298916685,958.7270538742082,239743122
B6_03_028,1286.4653480317681,535996782,1760.1759430103482,294774905,968.0860643566343,241221877
B6_03_029,1271.734652142464,529210756,1730.310862406338,290041628,962.4163631900656,239169128
B6_03_030,1258.5581659047377,524998729,1717.7574946562966,286898139,951.9302026195007,238100590
B6_03_031,1224.3710286106,509038377,1671.6694041617889,279884265,922.7917705283759,229154112
B6_03_032,1210.1809638565762,505187623,1654.0914845164878,276741084,913.2710711158907,228446539
B6_03_033,1203.6464901239233,500113913,1633.5421624232881,273900915,912.7896104524949,226212998
B6_03_034,1195.0075162716605,498113788,1626.611954237684,271704381,906.3917459326159,226409407
B6_03_035,1180.3031769100496,491342508,1599.656473303714,267515351,898.7165612000707,223827157
B6_03_036,1169.3900185198086,486829928,1581.0515396074256,264277508,893.2180383531735,222552420
B6_03_037,1144.916207454261,476412228,1555.6700895508063,259362873,870.321003247925,217049355
B6_03_038,1158.3232531912852,482742799,1567.2489826406525,262271281,883.9545255898803,220471518
B6_03_039,1149.5960318774432,479060808,1546.9017133415548,258397556,883.7877915243172,220663252
B6_03_040,1143.756608132976,476714323,1532.9051067691587,255055482,885.1836627930195,221658841
B6_03_041,1138.4301256453646,474959879,1521.0055817198675,252877825,884.9688741537125,222082054
B6_03_042,1114.4632612279322,465123471,1488.0947851912417,247520758,866.8809129225792,217602713
B6_03_043,1143.970841916629,478137485,1512.2964748472195,253153893,897.9015189610722,224983592
B6_03_044,1103.8146810667292,460636216,1469.7150693500464,244351888,861.5017745115612,216284328
B6_03_045,1098.1460891243378,458113604,1457.9563534749557,242611227,859.3798057942695,215502377
B6_03_046,1113.9749317573414,464818294,1470.095406317965,244691500,877.6460498773997,220126794
B6_03_047,1090.4475073692981,455382874,1443.3199581360939,239956273,857.0509034922302,215426601
B6_03_048,1104.3057493188664,460847771,1451.1990412997047,241891661,873.6054820755281,218956110
B6_03_049,1121.105043367298,467393177,1464.2415515492078,243897251,892.7873689256396,223495926
B6_03_050,1099.593682180466,459552088,1440.4036642029998,239320188,874.6962638165708,220231900
B6_03_051,1114.4037275553353,465665856,1455.3339560108466,241512670,889.8110284981601,224153186
B6_03_052,1094.5629290836578,458051600,1430.583172984414,237911704,872.9647903241796,220139896
B6_03_053,1094.7778386604327,457536123,1433.723169695838,237993745,871.4454389927321,219542378
B6_03_054,1111.691422137071,463035041,1448.2682257831673,240771696,888.1084326276841,222263345
B6_03_055,1072.7989840574057,448362389,1409.8474898236093,233787960,851.1075593387066,214574429
B6_03_056,1088.5000800365062,455601505,1421.262801961433,236220984,869.3364123413934,219380521
B6_03_057,1085.2699197167992,454340655,1412.6757694991938,234803665,869.6910839001549,219536990
B6_03_058,1065.834038533918,444600945,1395.0803333978047,230813251,849.4053978886809,213787694
B6_03_059,1083.638716675886,452530779,1409.3738335244764,233490963,869.4367788261164,219039816
B6_03_060,1082.3641167088394,451275483,1404.359987203245,232656106,870.064540649824,218619377
B6_03_061,1076.8899348176956,449707083,1400.8108283460365,231020321,865.4726431559409,218686762
C1_03_001,2662.6249674099313,1051893957,2682.105451173628,451234739,2648.1757252446873,600659218
C1_03_002,2803.9304419171776,1107252504,2829.761262141094,478090995,2784.615118039143,629161509
C1_03_003,2943.9631205709516,1167784795,2971.411951220947,505113289,2923.378798305982,662671506
C1_03_004,3143.6921709444937,1243173069,3209.7767256710126,545077864,3093.954780350305,698095205
C1_03_005,3358.0790068859674,1330363444,3484.8537840993527,590954535,3263.201857981376,739408909
C1_03_006,3587.9067334215765,1420366166,3742.573599524994,636622997,3471.3768652584677,783743169
C1_03_007,3878.911985013986,1532305996,4084.077443330926,695644995,3723.39166636998,836661001
C1_03_008,4166.769159443558,1640223679,4425.652722587764,754002880,3969.22511454587,886220799
C1_03_009,4408.050824562249,1739297838,4720.680068514846,804753214,4170.231121067029,934544624
